title,description,source,published_at,url,content
"T20 WC 2026 Group A updated points table: India, Pakistan, USA rankings","The Group A points table has already started taking shape with India and Pakistan tied at the top with 4 points each. India however, are ahead on net run rate after their 2 comfortable wins.",Business Standard,2026-02-12T16:55:14Z,https://www.business-standard.com/cricket/icc-t20-world-cup/t20-wc-2026-group-a-updated-points-table-india-pakistan-usa-rankings-126021201835_1.html,"The Group A points table has already started taking shape with India and Pakistan tied at the top with 4 points each. India however, are ahead on net run rate after their 2 comfortable wins.
T20 Wor… [+2371 chars]"
"Asia Yearbook 2026: Major Domestic Political Developments, Foreign Policy, and Socio-economic Trends","The main market opportunities in Asia include leveraging updated political and economic insights for strategic decision-making, accessing comprehensive country-specific data for investment planning, and utilizing cutting-edge analysis to understand and naviga…",GlobeNewswire,2026-02-12T16:01:00Z,https://www.globenewswire.com/news-release/2026/02/12/3237426/28124/en/Asia-Yearbook-2026-Major-Domestic-Political-Developments-Foreign-Policy-and-Socio-economic-Trends.html,"Dublin, Feb. 12, 2026 (GLOBE NEWSWIRE) -- The ""Asia Yearbook"" directory has been added to ResearchAndMarkets.com's offering.
This comprehensive survey of the countries of East, South, and South-East… [+3831 chars]"
Rafale fighter jets and maritime patrol aircraft: India eyes strategic air power upgrade,"India’s defense ministry says a government panel has cleared a major step toward buying more Rafale fighter jets and P-8I maritime patrol aircraft. On Thursday, the Defence Acquisition Council gave what India calls an “acceptance of necessity” for the purchas…",Associated Press,2026-02-12T15:45:32Z,https://apnews.com/article/rafale-france-macron-modi-p8i-us-india-3034e3f1026418206eaaa7b10a620bf4,NEW DELHI (AP) An Indian government panel Thursday gave its preliminary approval for the purchase of additional Rafale fighter jets and maritime patrol aircraft in deals valued at billions of dollars… [+1990 chars]
'Taken on board India's inputs....': MEA on UN report highlighting JeM's role in Red Fort blast case,"A United Nations report has acknowledged India's concerns about cross-border terrorism. The report highlights the role of Jaish-e-Mohammed in the 2025 Red Fort blast. This attack claimed 15 lives. The group's women-only wing, Jamaat ul-Muminat, is also mentio…",The Times of India,2026-02-12T15:42:47Z,https://economictimes.indiatimes.com/news/india/taken-on-board-indias-inputs-mea-on-un-report-highlighting-jems-role-in-red-fort-blast-case/articleshow/128265585.cms,The Ministry of External Affairs (MEA) on Thursday said that a recent UN report flagging the role of Jaish-e-Mohammed (JeM) in the 2025 blast near the Red Fort has taken into account India's concerns… [+3044 chars]
Olympic medals today: What is the medal count at 2026 Winter Games on Feb.12,Keep up with all the medals handed out during the 2026 Milano Cortina games.,USA Today,2026-02-12T15:34:59Z,https://www.usatoday.com/story/sports/olympics/2026/02/12/winter-olympics-medal-count-today-feb-12/88639523007/,"Athletes from more than 90 countries will compete for Winter Olympic medals in 116 events over 16 days, and USA TODAY is keeping a tally of every nation finishing on the podium. Here's a look at the … [+9996 chars]"
Pew report finds Christians are often largest group in the world’s most religiously diverse places,"Among the most populous nations, the U.S. ranks first in religious diversity. Singapore is the most religiously diverse country overall, and the U.S. ranks 32nd.",Ewtnnews.com,2026-02-12T15:00:00Z,https://www.ewtnnews.com/world/us/pew-report-finds-christians-are-often-the-largest-group-in-the-world-s-most-religiously-diverse,"The Pew Research Center released a report examining the most and least religiously diverse countries and territories across the globe.
The Feb. 12 report found that the United States is not among th… [+5748 chars]"
"Sortable table: Religious diversity by country, 2010-2020","This sortable table shows religious diversity scores for countries and territories in 2010 and 2020.
The post Sortable table: Religious diversity by country, 2010-2020 appeared first on Pew Research Center.",Pew Research Center,2026-02-12T14:52:44Z,http://www.pewresearch.org/religion/2026/02/12/sortable-table-religious-diversity-by-country-2010-2020/,"The sortable table below shows the Religious Diversity Index (RDI) score for each country and territory included in our study, along with its corresponding diversity level in 2010 and 2020. It also d… [+37163 chars]"
Religious Diversity Around the World,"Singapore is the most religiously diverse country, and Yemen the least, as of 2020. The U.S. ranks first among nations with large populations.
The post Religious Diversity Around the World appeared first on Pew Research Center.",Pew Research Center,2026-02-12T14:52:42Z,http://www.pewresearch.org/religion/2026/02/12/religious-diversity-around-the-world/,"About this research 
This Pew Research Center report describes levels of religious diversity in 201 countries and territories. We measure how evenly each countrys population is distributed among sev… [+14618 chars]"
Flight fares rise 50% as fans head to Colombo for India-Pakistan match,"Airfares to Colombo surge up to 50 per cent ahead of India-Pakistan clash on February 15, with hotel tariffs also moving up amid strong cricket-driven travel demand",Business Standard,2026-02-12T14:47:23Z,https://www.business-standard.com/industry/news/flight-fares-rise-50pc-cricket-fans-colombo-india-pak-match-126021201615_1.html,"IndiaPakistan match fever sends Colombo flight fares and hotel tariffs soaring, with last-minute air tickets from India touching 1 lakh."
Why encouraging Separatism in Sri Lanka is Strategically Dangerous for India,"It is crucial to understand the real nature of India’s regional doctrine the modus operandi changes with each government but the objective remains the same. India’s geopolitical goal has been political hegemony over its neighbors, regional dominance, strategi…",Sinhalanet.net,2026-02-12T14:26:49Z,https://www.sinhalanet.net/why-encouraging-separatism-in-sri-lanka-is-strategically-dangerous-for-india,It is crucial to understand the real nature of Indias regional doctrine the modus operandi changes with each government but the objective remains the same. Indias geopolitical goal has been political… [+12618 chars]
