title,description,source,published_at,url,content
"RRB JE, DMS, CMA 2026 city intimation slip released: Direct link on regional websites, check how to download","Railway Recruitment Boards have released the City Intimation Slip for Junior Engineer, Depot Material Supervisor, and Chemical & Metallurgical Assistant recruitment under CEN 05/2025. This slip informs candidates about their exam city, tentative date, and shi…",The Times of India,2026-02-10T15:23:08Z,https://timesofindia.indiatimes.com/education/news/rrb-je-dms-cma-2026-city-intimation-slip-released-direct-link-on-regional-websites-check-how-to-download/articleshow/128165273.cms,"<ul><li>News</li>
<li>Education News</li>
<li>News</li>
<li>RRB JE, DMS, CMA 2026 city intimation slip released: Direct link on regional websites, check how to download</li></ul>
Follow Us On Soc… [+1404 chars]"
Gist of The Hindu : JANUARY-2026,Gist of The Hindu: JANUARY-2026,Iasexamportal.com,2026-02-10T15:21:57Z,https://iasexamportal.com/the-gist/the-hindu-january-2026,"Gist of The Hindu: JANUARY-2026
The Hindu Current Affairs Week-1  (Free Available)
The Hindu Current Affairs Week-2  (Only For The Subscribed Members)
The Hindu Current Affairs Week-3  (Only For T… [+36405 chars]"
India under pressure to toe US line on oil,"India has insisted it would buy the cheapest crude, but with US pressure to cut Russian purchases it is being pushed towards costlier oil",BusinessLine,2026-02-10T15:18:09Z,https://www.thehindubusinessline.com/opinion/india-under-pressure-to-toe-us-line-on-oil/article70616518.ece,Joe Biden never thumped his chest and demanded that India immediately halt buying Russian crude oil. He understood that forcing large volumes of oil off the global market risked a price shock that co… [+4830 chars]
India-Pakistan match on as Pak govt withdraws boycott,"AGENCY ISLAMABAD/DHAKA: The India-Pakistan match in the T20 World Cup will go ahead as scheduled after Pakistan’s government decided to withdraw its boycott call following persuasion from Bangladesh and Sri Lanka, ending an impasse that cast a shadow on the o…",Statetimes.in,2026-02-10T15:05:30Z,https://statetimes.in/india-pakistan-match-on-as-pak-govt-withdraws-boycott/,"AGENCY
ISLAMABAD/DHAKA: The India-Pakistan match in the T20 World Cup will go ahead as scheduled after Pakistan’s government decided to withdraw its boycott call following persuasion from Bangladesh… [+1184 chars]"
What Foreign Policy Options Does Pakistan Have After the India-US Trade Deal?,"The most likely one is that Pakistan carefully recalibrates from its hitherto disproportionate dependence on the US back to China, albeit without worsening ties with the US, and then balances China with Turkiye as co-patrons.

To read this article in …
The po…",Globalresearch.ca,2026-02-10T14:25:22Z,https://www.globalresearch.ca/foreign-policy-options-pakistan-indo-us-trade-deal/5915337,"The most likely one is that Pakistan carefully recalibrates from its hitherto disproportionate dependence on the US back to China, albeit without worsening ties with the US, and then balances China w… [+4590 chars]"
Jamaat-e-Islami’s olive branch to India runs contrary to its track record,Bangladesh’s biggest radical party ran anti-India campaign for decades,The Times of India,2026-02-10T14:19:19Z,https://economictimes.indiatimes.com/news/international/world-news/jamaat-e-islamis-olive-branch-to-india-runs-contrary-to-its-track-record/articleshow/128162987.cms,Bangladesh's biggest radical outfit Jamaat-e-Islami may have sent an olive branch to India ahead of Thursdays elections seeking to repair ties but its history of anti-Indian campaigns and actions sin… [+2116 chars]
Islamists gain ground as Bangladesh gears up for elections,"As old political alliances fracture and constitutional debates intensify, an unprecedented Islamist alliance is reshaping the country's electoral landscape. Bangladesh heads to the polls on February 12 in an election unlike any in its recent history. 

With t…",DW (English),2026-02-10T14:13:00Z,https://www.dw.com/en/islamists-gain-ground-as-bangladesh-gears-up-for-elections/a-75895839,"Bangladesh heads to the polls on February 12 in an election unlike any in its recent history.  
With the longdominant Awami League (AL) barred from participating, an Islamist alliance, strengthened … [+9980 chars]"
"India jumps 5 places on Corruption Perceptions Index (CPI) 2025, holds 91st rank",India has climbed to the 91st position on the Corruption Perceptions Index 2025. The nation's score has seen a slight increase. The report highlights global challenges in combating corruption. It also notes that India is among countries considered dangerous f…,The Times of India,2026-02-10T14:12:05Z,https://economictimes.indiatimes.com/news/india/india-jumps-5-places-on-corruption-perceptions-index-cpi-2025-holds-91st-rank/articleshow/128162765.cms,New Delhi: India climbed five places to the 91st position out of 182 countries and territories on the Corruption Perceptions Index (CPI) 2025 released on Tuesday.India's score has gone up by one poin… [+3115 chars]
Integrated microbiomics and metabolomics analysis reveals distinct profiles in carbapenem-resistant Acinetobacter baumannii and Escherichia coli infections in Pancreatitis-associated sepsis,Background Pancreatitis-associated sepsis (PAS) caused by carbapenem-resistant bacteria poses significant clinical challenges. The objective of this research was to examine the microbial and metabolic profiles of individuals with carbapenem-resistant Acinetob…,Plos.org,2026-02-10T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0340895,"Abstract
Background
Pancreatitis-associated sepsis (PAS) caused by carbapenem-resistant bacteria poses significant clinical challenges. The objective of this research was to examine the microbial a… [+46630 chars]"
Russian minister Lavrov pulls up US for dictating India over oil; accuses Washington’s coercive tactics,"India is prioritizing energy security through BRICS, according to Russia's Foreign Minister Sergei Lavrov.  Despite US pressure, New Delhi aims to secure its energy needs. Russia pledges support for India's BRICS chairmanship, highlighting its focus on counte…",The Times of India,2026-02-10T13:42:41Z,https://economictimes.indiatimes.com/news/india/lavrov-pulls-up-us-for-dictating-india-over-oil-accuses-washingtons-coercive-tactics/articleshow/128161600.cms,Russian foreign minister Sergei Lavrov has noted that there are ongoing efforts to prevent countries like India from purchasing Russian oil but pointed out that New Delhi wants to work on energy secu… [+3062 chars]
"Nepal stagnates in corruption control, scores 34 in CPI 2025","KATHMANDU: Nepal has scored 34 points in the Corruption Perceptions Index (CPI) 2025, released by Transparency International Nepal (TI Nepal), remaining unchanged from last year and indicating a lack of significant progress in controlling corruption. Covering…",Khabarhub.com,2026-02-10T13:15:14Z,https://english.khabarhub.com/2026/10/534557/,"KATHMANDU: Nepal has scored 34 points in the Corruption Perceptions Index (CPI) 2025, released by Transparency International Nepal (TI Nepal), remaining unchanged from last year and indicating a lack… [+3250 chars]"
"T20 World Cup: Seifert, Allen set world record with 175-run partnership",Seifert and Allen surpass Hales and Buttler's record of an unbeaten 170-run stand set back in 2022.,Business Standard,2026-02-10T12:54:17Z,https://www.business-standard.com/cricket/icc-t20-world-cup/t20-world-cup-seifert-allen-set-world-record-with-175-run-partnership-126021001383_1.html,"Seifert and Allen surpass Hales and Buttler's record of an unbeaten 170-run stand set back in 2022.
New Zealand beat UAE by 10 wickets courtesy of the record run stand by Allen and Seifert
Shashwat… [+2545 chars]"
"UPSC Key: India-Seychelles relations, PMKVY, and NUDGE campaign","How is knowing about the potential impact of the US trade deal on India’s feed market relevant to the UPSC exam? What significance do topics such as the India-Greece relations, the PM CARES Fund, and RoW Corridors have for both the Preliminary and Main examin…",The Indian Express,2026-02-10T12:50:40Z,https://indianexpress.com/article/upsc-current-affairs/upsc-key-india-seychelles-relations-pmkvy-nudge-campaign-10524716/,"Preliminary Examination: Current events of national and international importance.Mains Examination: General Studies-II: Bilateral, regional and global groupings and agreements involving India and/or … [+42897 chars]"
Corruption Perception Index: India ranks 91st among 182 nations; scores 39,"The Corruption Perceptions Index, first released in 1995, is used to assess public sector corruption worldwide. It evaluates 182 countries and territories using data from 13 external sources",Business Standard,2026-02-10T12:43:24Z,https://www.business-standard.com/world-news/corruption-perception-index-india-ranks-91st-among-182-nations-scores-39-126021001355_1.html,"The Corruption Perceptions Index, first released in 1995, is used to assess public sector corruption worldwide. It evaluates 182 countries and territories using data from 13 external sources
Represe… [+3531 chars]"
